TOTAL DE ESCOLAS ATINGIDAS,164,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Pse,,,Informado,,,,,
Data mes,,,2,3,4,5,6,7
Tema saude saude bucal,,,Sim,Sim,Sim,Sim,Sim,Sim
Us gerencia,Us,Inep,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet,Qtde Ativ Colet
,,EMEI ERICO VERISSIMO,-,-,2,-,-,-
,Unidade de Saude Ramos,5007 IEI EUGENIA CONTE,-,-,-,-,4,-
,,EMEI DA VILA DA PASCOA,-,-,-,5,-,-
,Unidade de Saude Rubem Berta,5024 IEI LAR DA CRIANCA MENINO JESUS DE PRAGA,-,-,-,2,-,-
,,5027 IEI GIRASSOL,-,-,-,2,-,-
,,ESC EST ENS FUN JULIO BRUNELLI,-,-,-,-,2,-
,Unidade de Saude Santa Rosa,5139 IEI ACOMPAR NUCLEO III,-,-,-,-,6,-
,Unidade de Saude Santo Agostinho,5010 IEI ACOMPAR NUCLEO II - SANTO AGOSTINHO,2,-,-,-,3,-
,,5139 IEI ACOMPAR NUCLEO III,-,2,-,-,-,-
,Unidade de Saude Sao Borja,5003 EEI ESTRELINHA DO CEU,-,-,-,-,-,1
,Unidade de Saude Sao Cristovao,EMEI SANTO EXPEDITO,-,-,-,-,2,-
,,ESC EST ENS FUN PROFESSORA LUIZA TEIXEIRA LAUFFER,-,-,2,-,-,-
,Unidade de Saude Sarandi,5008 EEI JOANA DARC,-,-,-,1,1,-
,,5113 EEI ANJINHO DA GUARDA,-,-,-,1,-,-
,,COL ESTADUAL PRESIDENTE ARTHUR DA COSTA E SILVA,-,-,2,-,-,-
,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,-,1,-,-,-,-
COORDENADORIA DE SAÚDE OESTE,Clinica da Familia Moab Caldas,8020 FASC - SASES PROPRIOS,-,-,-,-,4,-
,,EMEI DA VILA TRONCO,-,-,1,-,-,-
,,ESC EST ENS FUN CORONEL TITO MARQUES FERNANDES,-,-,1,-,-,-
,Clinica da Familia Modelo,5042 IEI PIU PIU,-,-,1,-,-,-
,,5043 IEI LUPICINIO RODRIGUES,-,-,1,-,-,-
,,5048 IEI HELOISA BECKER,-,-,1,-,-,-
,,5203 EEI AMIGO GERMANO,-,-,1,-,-,-
,,5223 IEI SANTA TERESINHA,-,-,1,-,-,-
,,ESC EST ENS FUN MANE GARRINCHA CIEP ESPORTIVO,-,-,1,-,-,-
,Clinica da Familia Primeiro de Maio,ESC EST ENS FUN ANITA GARIBALDI,-,-,-,-,1,-
,Clinica da Familia Santa Marta,EMEI JP CIRANDINHA,-,-,-,-,-,2
,,EMEI JP PICA-PAU AMARELO,-,-,-,-,2,-
,Unidade de Saude Cristal,5019 IEI VOVO CAZEMIRO -ACM CRUZEIRO,-,-,-,2,-,-
,,5076 EEI DOM ORIONE,-,-,-,-,1,-
,,5086 EEI ARAPEI,-,1,-,-,-,-
,,5089 EEI VO MARIA,-,2,-,-,-,-
,,5158 IEI ESCOLA DA VIDA,-,-,-,1,-,-
,,5159 EEI TIA IARA,-,-,1,-,-,-
,,ESC EST ENS FUN PAUL HARRIS,-,-,-,-,3,-
,Unidade de Saude Cruzeiro do Sul,ESC EST ENS FUN ALMIRANTE ALVARO ALBERTO DA MOTTA E SILVA,-,-,-,-,1,-
,Unidade de Saude Divisa,COL ESTADUAL ELPIDIO FERREIRA PAES,-,1,-,1,-,-
,Unidade de Saude Estrada dos Alpes,5218 IEI CARLOS ALBERTO TEJERA DE RE,-,-,-,1,-,-
,,ESC EST ENS FUN BAEPENDI,-,-,2,-,1,-
,Unidade de Saude Graciliano Ramos,ESC EST ENS FUN JERONIMO DE ORNELAS,-,-,-,-,-,4
,Unidade de Saude Jardim Cascata,ESC EST ENS FUN ESPIRITO SANTO,-,-,-,-,4,-
,Unidade de Saude Nossa Senhora das Gracas,ESC EST ENS FUN RAFAEL PINTO BANDEIRA,-,-,-,-,-,3
,Unidade de Saude Santa Anita,ESC EST ENS FUN PIAUI,-,-,-,-,1,-
,Unidade de Saude Santa Tereza,5197 EEI TIO ZE,-,-,-,3,-,-
,,5222 IEI PRISMA,-,-,3,-,-,-
,,ESC EST ENS FUN SANTA RITA DE CASSIA,-,-,-,1,-,-
,Unidade de Saude Vila Cruzeiro,5127 EEI VILA GAUCHA,-,-,-,1,-,-
,,ESC EST ENS FUN SANTA RITA DE CASSIA,-,-,-,1,-,-
COORDENADORIA DE SAÚDE SUL,Clinica da Familia Alvaro Difini,5235 EEI EDUARDA PUJOL ZANIRATTI II,-,-,-,-,2,-
,,5241 EEI DESENVOLVENDO O SABER,-,-,-,1,-,-
,,EMEEF TRISTAO SUCUPIRA VIANNA,-,-,-,10,-,-
,,EMEI DA VILA NOVA RESTINGA,-,-,4,-,-,-
,Clinica da Familia Belem Novo,5243 EEI ANANDA MARGA BELEM NOVO,-,4,-,-,-,-
,Clinica da Familia Jose Mauro Ceratti Lopes,5228 IEI APRENDENDO FELIZ,-,-,-,-,4,-
,Clinica da Familia Tristeza,6002 EEF ALDEIA LUMIAR,-,-,-,-,8,-
,Unidade de Saude Alto Erechim,ESC EST ENS FUN DR VICTOR DE BRITTO,-,-,-,-,3,-
,Unidade de Saude Calabria,5011 IEI MARIA DE NAZARE,-,-,-,-,5,-
,Unidade de Saude Campo Novo,ESC EST ENS FUN PAULINA MORESCO,-,-,-,-,1,-
,Unidade de Saude Chacara do Banco,5108 EEI PADRE PEDRO LEONARDI I,-,-,-,1,-,-
,,5146 EEI CHACRINHA,-,-,-,1,-,-
,Unidade de Saude Chapeu do Sol,5220 IEI CANTINHO DO SOL,-,-,-,1,-,-
,,EMEF CHAPEU DO SOL,-,-,-,1,-,-
,,ESC EST ENS FUN PEDRO AMERICO,-,-,-,5,-,-
,Unidade de Saude Cidade de Deus,EMEF NEUSA GOULART BRIZOLA,-,-,-,1,2,-
,Unidade de Saude Guaruja,ESC EST ENS FUN CLOTILDE CACHAPUZ DE MEDEIROS,-,-,-,-,3,-
,,ESC EST ENS FUN PROFESSORES LANGENDONCK,-,-,1,3,2,-
,Unidade de Saude Ipanema,5097 EEI PASSO A PASSO,-,3,-,-,-,-
,,COL ESTADUAL ODILA GAY DA FONSECA,-,-,3,2,6,-
,,ESC EST ENS FUN PARAIBA CIEP,-,-,5,-,-,-
,Unidade de Saude Lami,5240 EEI JARDIM FLORESTA LAMI,-,-,1,-,-,-
,,E E IND ENS FUN KA AGUY MIRI,-,-,-,-,1,-
,,ESC EST ENS FUN GENOVEVA DA COSTA BERNARDES,-,-,-,3,-,-
,,ESC EST ENS FUN HEITOR VILLA LOBOS,-,-,-,-,2,-
,,ESC EST ENS FUN SAO CAETANO,-,-,-,36,-,1
,,ESC EST ENS MED OSCAR COELHO DE SOUZA,-,-,11,-,-,-
,Unidade de Saude Macedonia,5132 EEI ANANDA MARGA RESTINGA NOVA 2,-,-,1,-,-,-
,,5163 EEI PLANETA INFANTIL,-,1,-,-,-,-
,,5192 EEI RENASCER DA ESPERANCA,-,-,1,-,-,-
,,5238 EEI CHEIRINHO DE MAE,-,1,-,-,-,-
,,5246 ECEI BUSCANDO O SABER,-,1,-,-,-,-
,,COL MONTEIRO LOBATO - ESC EDUC BASICA,-,-,-,-,1,-
,,EMEF DOLORES ALCARAZ CALDAS,-,-,1,-,-,-
,,EMEF SEN ALBERTO PASQUALINI,-,-,1,-,-,-
,,EMEI DOM LUIZ DE NADAL,-,-,2,-,-,-
,,EMEI FLORENCIA VURLOD SOCIAS,-,-,1,-,-,-
,,ESCOLA DE EDUCACAO INFANTIL TURMA DO PIU-PIU,-,-,-,1,-,-
,,PLANETA INFANTIL,-,1,-,-,-,-
,Unidade de Saude Monte Cristo,5190 EEI PINGUINHOS DE OURO,-,-,1,-,-,-
,Unidade de Saude Morro dos Sargentos,ESC EST ENS FUN CUSTODIO DE MELLO,-,-,-,4,-,-
,Unidade de Saude Nucleo Esperanca,EMEF VER CARLOS PESSOA DE BRUM,-,-,2,-,-,6
,Unidade de Saude Paulo Viaro,5224 IEI DOM DADEUS GRINGS,-,1,-,-,-,-
,Unidade de Saude Pitinga,5236 EEI PITINGUINHA,-,-,-,-,1,-
,Unidade de Saude Ponta Grossa,5212 EEI RECANTO DOS PEQUENINOS,-,-,-,3,-,-
,,EMEI PONTA GROSSA,-,-,4,4,-,-
,Unidade de Saude Restinga,EEI BRINCAR E ARTE,-,-,2,-,-,-
,Unidade de Saude Sao Vicente Martir,ESC EST ENS FUN MONSENHOR ROBERTO LANDELL DE MOURA,-,-,-,2,-,-
