Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ENS MEDIO CESI ZONA SUL,43000452,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOSE BRAULIO DA FONSECA, 44 ESCOLA. ABERTA DOS MORROS. 91787-895 Porto Alegre - RS.",(51) 33461880,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.16047,-51.18704
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E IND ENS FUN TUPE PAN,43000479,RS,Porto Alegre,Urbana,Terra indígena,Pública,"R PADRE WERNER S/INF COMUNIDADE, S/INF COMUNIDADE. TRISTEZA. 91920-770 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA TECNICA CECILIA MEIRELES - SEG,43000487,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ANDRADAS, 1001 CONJUNTO 301. CENTRO HISTORICO. 90020-015 Porto Alegre - RS.",(51) 30842420,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-30.03075,-51.23133
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QI ESCOLAS E FACULDADES LTDAA ALBERTO BINS,43000495,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ALBERTO BINS, 320 CENTRO. 90030-140 Porto Alegre - RS.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.02812,-51.22237
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO PROFISSIONAL PROFESSOR ALBERT EINSTEIN,43000517,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ANDRADAS, 1270 7º ANDAR. CENTRO HISTORICO. 90020-008 Porto Alegre - RS.",(51) 32256917,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.03069,-51.22703
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QI ESCOLAS E FACULDADES LTDAA JULIO DE CASTILHOS,43000533,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV. ALBERTO BINS, 324 CENTRO. 90030-131 Porto Alegre - RS.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Profissional,,-30.02523,-51.22271
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IFRS - CAMPUS PORTO ALEGRE RESTINGA,43001190,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALBERTO HOFFMANN, 285 DISTRITO INDUSTRIAL. RESTINGA. 91791-508 Porto Alegre - RS.",(51) 32478400,Federal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-30.14187932,-51.13074911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E IND ENS FUN PINDO POTY,43001254,RS,Porto Alegre,Urbana,Terra indígena,Pública,"ETR VAREJAO 217, 217 LAMI. 91787-170 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-30.22072,-51.09536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SITIO DA INFANCIA,43001840,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JUCA BATISTA, 21 CAVALHADA. 91770-001 Porto Alegre - RS.",(51) 991188259,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.1271165,-51.2373036
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI AQUARELA DO SABER,43001858,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MAESTRO MENDANHA, 240 SANTANA. 90620-160 Porto Alegre - RS.",(51) 32194336,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.04889,-51.20554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PA PI PUM,43001874,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FREDERICO ETZBERGER, 301 NONOAI. 91720-510 Porto Alegre - RS.",(51) 30290905,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA PARALISADA,EEI ECOKIDS ESTACAO CRIANCA,43001912,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA REGENTE, 176 PETROPOLIS. 90470-170 Porto Alegre - RS.",(51) 30194019,Privada,Não Informado,Não,,,,,-30.0311,-51.18156
ESCOLA PARALISADA,IEI CRECHE DO CORACAO,43001971,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA RIO MARIA, 207 CASCATA. 91712-270 Porto Alegre - RS.",(51) 33545892,Privada,Não Informado,Não,,,,,-30.09194,-51.1752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI TURMA DA MAGALI,43001980,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ADAO PRETTO, 4967 LOMBA DO PINHEIRO. 91570-735 Porto Alegre - RS.",(51) 33363767,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PEQUENOS BRILHANTES,43001998,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA BALTAZAR DE OLIVEIRA GARCIA, 4660 FUNDOS LATERAL. RUBEM BERTA. 91180-000 Porto Alegre - RS.",(51) 33657890,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.01355,-51.09916
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST EDUC INF BILINGUE UP KIDS SCHOOL,43002021,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ALAMEDA EMILIO DE MENEZES, 100 TRES FIGUEIRAS. 91340-360 Porto Alegre - RS.",(51) 33287118,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-30.02981,-51.17807
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CAMBALHOTA KIDS,43002030,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DR. VOLTAIRE PIRES, 617 SANTO ANTONIO. 90610-250 Porto Alegre - RS.",(51) 30617332,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.05208,-51.20386
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI GENTE MIUDA,43002064,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA BENNO MENTZ, 215 VILA IPIRANGA. 91370-020 Porto Alegre - RS.",(51) 33666812,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0124666,-51.1480022
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SOBRADINHO ALEGRE,43002188,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CORONEL LUCAS DE OLIVEIRA, 1927 PETROPOLIS. 90460-001 Porto Alegre - RS.",(51) 33884807,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.03969,-51.1946
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PAMPEANO,43002200,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DONA LEONOR, 360 RIO BRANCO. 90450-210 Porto Alegre - RS.",(51) 30192528,Privada,Particular,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0293,-51.19355
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PAIS E FILHOS,43002218,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SILVEIRO, 841 MENINO DEUS. 90850-170 Porto Alegre - RS.",(51) 33079202,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.06071,-51.22837
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI MUNDO MAGICO DA ALEGRIA,43002269,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA CIRINO PRUNES, 292 ESPIRITO SANTO. 91770-210 Porto Alegre - RS.",(51) 33982094,Privada,Particular,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.14776,-51.2123
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO MARISTA IRMAO JAIME BIAZUS,43002803,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA ANTONIO SEVERINO, 1493 MARIO QUINTANA. 91250-330 Porto Alegre - RS.",(51) 30862300,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-30.02402,-51.09608
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI ALEGRIA DE CRIANCA,43004229,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV ALCIDES MAIA, 259 SARANDI. 91130-700 Porto Alegre - RS.",(51) 984205906,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-29.99644,-51.12831
ESCOLA PARALISADA,EEI TURMINHA DO PUFF,43004245,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA PADRE ROQUE GONZALES, 474 LOMBA DO PINHEIRO. 91570-170 Porto Alegre - RS.",(51) 33546622,Privada,Não Informado,Não,,,,,-30.11369,-51.10212
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SO BEBE,43004261,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JAGUARI, 582 CRISTAL. 90820-180 Porto Alegre - RS.",(51) 32662518,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CRIARTE,43004296,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ROQUE CALAGE, 755 PASSO DA AREIA. 91350-090 Porto Alegre - RS.",(51) 30619895,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.01839,-51.16315
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI IGORZINHO,43004300,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA HONORATO TONIOLO, 96 HIPICA. 91755-100 Porto Alegre - RS.",(51) 30622439,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1577,-51.19768
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5218 IEI CARLOS ALBERTO TEJERA DE RE,43004318,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV ENG LUDOLFO BOEHL, 1402 CASCATA. 91720-150 Porto Alegre - RS.",(51) 33157944,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0838606,-51.2005545
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5217 EEI EDUARDA PUJOL ZANIRATTI,43004334,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV ECON NILO WULFF, 929 RESTINGA. 91790-000 Porto Alegre - RS.",(51) 30223551,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1504733,-51.145228
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5211 EEI JARDIM DO FUTURO,43004342,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DA COMUNIDADE, 16 ACESSO. LOMBA DO PINHEIRO. 91560-550 Porto Alegre - RS.",(51) 33222359,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1254365,-51.1075524
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5210 IEI EREMI,43004350,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R PAULINO AZURENHA, 445 PARTENON. 90680-240 Porto Alegre - RS.",(51) 33526705,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0660083,-51.1938636
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5208 IEI VITORIA,43004369,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AV A J RENNER, 773 HUMAITA. 90245-000 Porto Alegre - RS.",(51) 22000033,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-29.9888897,-51.1948354
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI COLIBRI,43004377,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA ENGENHEIRO ALFREDO CORREA DAUDT, 300 BOA VISTA. 90480-120 Porto Alegre - RS.",(51) 35161300,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0225,-51.17941
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI BANANA NANIKA,43004385,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA PIRAPO, 22 PETROPOLIS. 90470-450 Porto Alegre - RS.",(51) 30624149,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.04281,-51.18099
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI MUNDO DO SABER,43004407,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA EDGAR PIRES DE CASTRO, 242 ABERTA DOS MORROS. 91787-152 Porto Alegre - RS.",(51) 30224932,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CANTINHO DO SABER,43004415,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA SAO SEBASTIAO, 57 NONOAI. 90830-420 Porto Alegre - RS.",(51) 32791001,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.09168,-51.22279
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO EDUCACIONAL REVERENDO OLAVO NUNES,43004423,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA 25 DE JULHO, Nº 437, SAO JOAO. 91031-970 Porto Alegre - RS.",(51) 33252477,Privada,Particular,Não,Não,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-30.00432151,-51.18206959
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5207 EEI IRMAO MARIO FRIGO,43004610,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R MARIA PAULA LEAL, 200 FARRAPOS. 90250-617 Porto Alegre - RS.",(51) 996888130,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-29.983338,-51.1997823
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI PEQUENO APRENDIZ,43004679,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA VITOR HUGO, 25 PETROPOLIS. 90630-070 Porto Alegre - RS.",(51) 30126225,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-30.0436006,-51.1884704
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI SONHO DE CRIANCA,43004687,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"PRACA ALBERTO RAMOS, 906 HIGIENOPOLIS. 90520-050 Porto Alegre - RS.",(51) 33929272,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.02105,-51.18278
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI JOAO E MARIA,43004709,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SAPE, 575 JARDIM IPIRANGA. 91350-050 Porto Alegre - RS.",(51) 33412486,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.01693,-51.1576
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,KINDERHOUSE ESCOLA DE EDUCACAO INFANTIL LTDA - ME,43004741,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PEDRO WEINGARTNER, 147 CASA. RIO BRANCO. 90430-140 Porto Alegre - RS.",(51) 30622040,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.0298,-51.19944
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI LAPIS DE COR,43004750,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA PERNAMBUCO, 2808 NAVEGANTES. 90240-001 Porto Alegre - RS.",(51) 32641873,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.02766,-51.21645
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI ESTACAO CRIANCA II,43004784,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA GOMES DE FREITAS, 330 JARDIM ITU SABARA. 91380-330 Porto Alegre - RS.",(51) 33487504,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,-30.01019,-51.13866
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI ARTE E CIA,43004814,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA NUNES, 494 MEDIANEIRA. 90870-390 Porto Alegre - RS.",(51) 31107805,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5205 IEI OSICOM IV - NOSSA SENHORA DA SALETE,43004822,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R PARLAMENTO, 215 MORRO SANTANA. 91450-370 Porto Alegre - RS.",(51) 32336040,Privada,Confessional,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0419296,-51.1208081
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5209 IEI ACOMPAR V - LUISA CASAGRANDE LEWANDOWSKI,43004830,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R DR MEER MARIO KAUFMANN, 336 SANTA ROSA DE LIMA. 91160-270 Porto Alegre - RS.",(51) 33670045,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0013348,-51.1048818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CATIVAR,43004857,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO, 376 VILA IPIRANGA. 91370-170 Porto Alegre - RS.",(51) 35570591,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,-30.01386,-51.14627
ESCOLA PARALISADA,INST EDUC INF ABCB CRIANCA PAZ E BEM,43004865,RS,Porto Alegre,Urbana,Não Informado,Privada,"AVENIDA JUCA BATISTA, 2594 ESCOLA. ESPIRITO SANTO. 90650-002 Porto Alegre - RS.",(51) 32332691,Privada,Não Informado,Não,,,,,-30.15294167,-51.20245333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST EDUC INF ABCB SAO FRANCISCO,43004873,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA RETIRO DA PONTA GROSSA, 1701 PONTA GROSSA. 91780-590 Porto Alegre - RS.",(51) 32332691,Privada,Filantrópica,Não,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.18328805,-51.1936206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CANTINHO DO CEU,43004881,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA ANTONIO CARVALHO, 1451 AGRONOMIA. 91430-001 Porto Alegre - RS.",(51) 33688306,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-30.05673,-51.14759
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E IND ENS FUN KA AGUY MIRI,43005047,RS,Porto Alegre,Urbana,Terra indígena,Pública,"ETR JOSE CARDOSO DA COSTA 1500, 1500 LAMI. 91787-610 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ENS FUND WALDORF QUERENCIA,43005055,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"BECO PONTA GROSSA, 874 PONTA GROSSA. 91780-570 Porto Alegre - RS.",(51) 996038038,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-30.12711,-51.23822
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI AMIGUINHOS DO CRISTAL,43006744,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA INHANDUI, 421 CRISTAL. 90820-170 Porto Alegre - RS.",(51) 30135012,Privada,Particular,Não,Em Tramitação,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI CONTO DE FADAS,43006787,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA NERO JOSE DA SILVA FILHO, 285 PARTENON. 91530-570 Porto Alegre - RS.",(51) 35333106,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA PARALISADA,EEI CARROSSEL,43006795,RS,Porto Alegre,Urbana,Não Informado,Privada,"RUA VIEIRA DE CASTRO, 250 FARROUPILHA. 90040-320 Porto Alegre - RS.",(51) 33301694,Privada,Não Informado,Não,,,,,-30.03995,-51.21136
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5212 ECEI SAO JORGE,43006817,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R STEFAN HERMANN, 4 PONTA GROSSA. 91780-598 Porto Alegre - RS.",(51) 23990861,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1848141,-51.1923226
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5220 IEI CANTINHO DO SOL,43006825,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PEDRO RAIMUNDO, 179 CHAPEU DO SOL. 91787-029 Porto Alegre - RS.",(51) 32644316,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1764993,-51.1746005
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5221 EEI ANA MALTZ KNIJNIK,43006833,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTR CRISTIANO KRAEMER, 1078 VILA NOVA. 91750-062 Porto Alegre - RS.",(51) 35080562,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.1255537,-51.2021869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5222 IEI PRISMA,43006841,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R PRISMA, 203 SANTA TEREZA. 90840-130 Porto Alegre - RS.",(51) 35008082,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0779924,-51.2308604
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO AGIR,43006850,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MARECHAL FLORIANO PEIXOTO, 142 CENTRO HISTORICO. 90020-060 Porto Alegre - RS.",(51) 30727788,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,,-30.0305384,-51.22685255
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EDUC PROF FLIGHT,43007392,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DEZOITO DE NOVEMBRO, 800 NAVEGANTES. 90240-040 Porto Alegre - RS.",(51) 33252114,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Profissional,,-29.99936,-51.18843
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEI FONTE DOS ANJOS,43008640,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ZEPPELIN, 54 PARADA 18. LOMBA DO PINHEIRO. 91570-520 Porto Alegre - RS.",(51) 996622708,Privada,Particular,Não,Não,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,5225 IEI ESPACO DO SABER,43008666,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Privada,"R MILLO RAFFIN, 79 MARIO QUINTANA. 91240-475 Porto Alegre - RS.",(51) 32128389,Privada,Comunitária,Sim,Não,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-30.0294738,-51.116994
