Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN LUIZ GAMA,43106692,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R RUA HONDURAS 115, 115 LOMBA DO PINHEIRO. 91787-302 Porto Alegre - RS.",(51) 32461988,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.1125,-51.15335
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MACHADO DE ASSIS,43106706,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R XAVIER DA CUNHA 680, 680 NONOAI. 90830-430 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.092,-51.23079
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MADRE MARIA SELIMA,43106714,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R TENENTE ARY TARRAGO 130, 130 CEL.APARICIO BORGES. 91510-390 Porto Alegre - RS.",(51) 32340491,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.07181,-51.17807
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MAJOR MIGUEL JOSE PEREIRA,43106722,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R JACKSON DE FIGUEIREDO 675, 675 SARANDI. 91120-380 Porto Alegre - RS.",(51) 33648244,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-29.98598,-51.12778
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MARIA JOSE MABILDE,43106757,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R PRESIDENTE VARGAS 129, 129 ARQUIPELAGO. 90090-000 Porto Alegre - RS.",(51) 32116332,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.02895,-51.25261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS MED MARIZ E BARROS,43106765,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DEL ELY CORREA PRADO 915, 915 MARIO QUINTANA. 91260-300 Porto Alegre - RS.",(51) 33871444,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.03582,-51.10683
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MATIAS DE ALBUQUERQUE,43106773,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV JUCA BATISTA 3450, 3450 IPANEMA. 91755-000 Porto Alegre - RS.",(51) 32647148,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-30.15437,-51.19983
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MEDIANEIRA,43106781,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R GENERAL GOMES CARNEIRO 45, 45 MEDIANEIRA. 90870-310 Porto Alegre - RS.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-30.06416,-51.21066
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ED BAS MONSENHOR LEOPOLDO HOFF,43106790,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R MOEMA 255, 255 CHACARA DAS PEDRAS. 91330-500 Porto Alegre - RS.",(51) 33818551,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-30.03823,-51.16359
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC EST ENS FUN MONSENHOR ROBERTO LANDELL DE MOURA,43106803,RS,Porto Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOSE GOMES 400, 400 TRISTEZA. 91910-280 Porto Alegre - RS.",(51) 32681021,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-30.10794,-51.24946
